Year,Place,Points,No.,Country,Performer,Song,Lyrics
2007,19,49,16,Germany,Roger Cicero,Frauen Regieren Die Welt,"Schon in der Schule die Jungs ha'm gelacht
Doch mir hat's überhaupt nichts ausgemacht
Sie war so süß und ihre Beine so lang
Bin fast ein Jahr in ihren Ballettkurs gegangen

Als ich erfuhr, dass sie auf Umweltschutz steht
Hab ich ""nein danke"" auf mein' Parka genäht
Das hat sie damals alles nicht int'ressiert
Doch seitdem weiß ich wer die Welt regiert

[Chorus]
Wie sie geh'n und steh'n
Wie sie dich anseh'n
Und schon öffnen sich Tasche und Herz
Und dann kaufst du 'n Ring und 'n Nerz

Ein lasziver Blick
Und schon ändert sich deine Politik
Kein Boss und kein Actionheld
Kein Staat und kein Mafiageld
Frauen regiern die Welt

[Verse 2]
Alle Register von kokett bis naiv
Sie ha'm als Baby schon den Vater im Griff
Sie geben alles wenn sie irgendwas wollen
Und du beißt auf Granit wenn sie schmollen             Du machst dich lächerlich und lässt dich verhau'n
Damit die Mädels einmal nur rüberschauen
Sie pushen Beckham und stürtzten Clinton
Ohne dafür 'ne Partei zu gründen

[Chorus] (x2)
Wie sie geh'n und steh'n
Wie sie dich anseh'n
Und schon öffnen sich Tasche und Herz
Und dann kaufst du 'n Ring und 'n Nerz

Ein lasziver Blick
Und schon ändert sich deine Politik
Kein Boss und kein Actionheld
Kein Staat und kein Mafiageld
Frauen regiern die Welt"
2007,20,43,2,Spain,NASH,I Love You Mi Vida,"Hey hey hey
Hey hey hey
Ven hacia mí, descubre el amor
Ven hacia mí, siente mi pasión
Tú ven hacia mí como el escorpión
Que endulza con su herida
Hay besos de mí que nadie robó
Hay versos de mí que nadie escuchó
Tú ven hacia mí con el corazón
Que en mí se clavaría
No mires atrás ningún día
Atrévete a dar corazón
I love you mi vida (I-e-o)
Desgarra mi vida
Y pártela en dos
Que se hundan mis días
Si todo es mentira
Y pierdo tu amor
Si pierdes mi amor
I love you mi vida (I-e-o)
Seduce mi vida
Siente la pasión
Ven, dame tus días
Y baila mi son
Mi danza de amor
Mi danza de amor
Ven hacia mí sin miedo al dolor
Siente por mí lo mismo que yo
Tú ven hacia mí como el escorpión
Que mata con su herida
No mires atrás nngún día
Atrévete a dar corazón
I love you mi vida (I-e-o)
Desgarra mi vida
Y pártela en dos
Que se hundan mis días
Si todo es mentira
Y pierdo tu amor
Si pierdes mi amor
I love you mi vida (I-e-o)
Seduce mi vida
Siente la pasión
Ven, dame tus días
Y baila mi son
Mi danza de amor
Mi danza de amor
I love you mi vida
Mi danza de amor
I love you mi vida (I-e-o)
Desgarra mi vida
(Seduce mi vida)
Y pártela en dos
Que se hundan mis días
Si todo es mentira
Y pierdo tu amor
Si pierdes mi amor
I love you mi vida (I-e-o)
Seduce mi vida
Siente la pasión
Ven, dame tus días
Y baila mi son
Mi danza de amor
Mi danza de amor"
2007,21,28,9,Lithuania,4Fun,Love Or Leave,"Stars in the sky
When the shadows fall, when the sunlight dies
Empty streets are filled with the pale lamplight
We are just two lonely shades walking in the night

Words lose their sense
When I feel you near, when I touch your hands
I'm trying not to think that at break of dawn
You'll be gone and I'll be lost, numb and all alone

When the morning comes, I'm all alone
Left to live another day, in joy or sadness, on my own
When the morning comes, I'm all alone
Every time at break of dawn

Weak and unwise
I betray all fears that I should disguise
Melting in your arms, I fail to realise
Why the mornings always change the colour of your eyes

When the morning comes, I'm all alone
Every time at break of dawn

Love or leave, I'm with and without you
How come I am up to this senseless game?
How could I stop thinking about you?
Love or leave, don't play with my heart again                         Love or leave, I'm with and without you
How come I am up to this senseless game?
How could I stop thinking about you?
Hey... love or leave, don't play with my heart again"
2007,22,19,13,France,Les Fatals Picards,L'amour à La Française,"I remember jolie demoiselle
The last summer, nous, la tour Eiffel
I remember comme tu étais belle
So beautiful with your sac Chanel

Sur le pont de la Seine
Let's do it again, again, again, again
You gave me a rendezvous
What is it, what is it?

Je le cherche à toi, dans les rues
Je ne suis pas venir car tu ne l'es plus
Je le regarde partout, where are you?
My heart is bleeding, oh I miss you

L'amour à la française
Let's do it again, again, again, again
You gave me a rendezvous

Et je cours, je cours, je cours
I've lost l'amour, l'amour, l'amour
Je suis perdu, here without you
And I'm crazy, seul à Paris
Je, tu le manques, sans toi I can't
Et sous la pluie, I feel sorry
Champs-Élysées, alone, la nuit
Le Moulin Rouge, I feel guilty                 Et le soleil est plus brûlant que les oiseaux
Et dans le ciel, I miss you so
A souvenir, a rendezvous
Des fleurs, des fleurs, des fleurs for you
Je, tu le manques, sans toi I can't
Et sous la pluie, I feel sorry
Je suis perdu, here without you
And I'm crazy, seul à Paris

I remember jolie demoiselle
The last summer, comme tu étais belle
I remember nous, la tour Eiffel
So beautiful with your sac Chanel

L'amour à la française
C'est que je t'aime, je t'aime, je t'aime, je t'aime
I give you a rendezvous

Et je cours, je cours, je cours
I've lost l'amour, l'amour, l'amour
Je suis perdu, here without you
And I'm crazy, seul à Paris
Je, tu le manques, sans toi I can't
Sous la pluie, I feel sorry
Champs-Élysées, alone, la nuit
Le Moulin Rouge, I feel guilty
Et le soleil est plus brûlant que les oiseaux
Et dans le ciel, I miss you so
A souvenir, a rendezvous
Des fleurs, des fleurs, des fleurs for you
Je, tu le manques, sans toi I can't
Et sous la pluie, I feel sorry
Je suis perdu, here without you"
2007,22,19,19,United Kingdom,Scooch,Flying The Flag (for You),"This is your captain speaking
I'd like to welcome you aboard this Eurovision flight
The duration will be 3 minutes exactly
Now sit back, relax and enjoy the flight
Bap ba-da, bap ba-da, ba-da-da, bap ba-da
Bap ba-da, bap ba-da, yeah yeah, yeah yeah
(Duty free, madam')
Bap ba-da, bap ba-da, ba-da-da, bap ba-da
Bap ba-da, bap mm ba-da
We're flying the flag all over the world
Flying the flag for you
London to Berlin
All the way from Paris to Tallinn
Helsinki onto Prague
Don't matter where we are, yeah yeah yeah
Flying high in Amsterdam
Why don't you catch us if you can
(Catch us if you can)
Now we're cruising in the sky
And we're singing it for you
We're singing bap ba-da, bap ba-da, ba-da-da, bap ba-da
Bap ba-da, bap ba-da, yeah yeah, yeah yeah
(Some salted nuts, sir')
Bap ba-da, bap ba-da, ba-da-da, bap ba-da
Bap ba-da, bap mm ba-da
We're flying the flag all over the world
Flying the flag for you
(Would you like a complimentary drink with your meal, sir')
We're flying the flag all over the world
Flying the flag for you
Ladies and gentlemen
Your exits are here, here and here
To fasten your seatbelt insert the fitting
To use the life vest, slip it over your head
Pull firmly on the red cord
And blow into the mouthpiece
Bap ba-da, bap ba-da, ba-da-da, bap ba-da
(We wish you a very, pleasurable, journey)
Bap ba-da, bap ba-da, yeah yeah, yeah yeah
Bap ba-da, bap ba-da, ba-da-da, bap ba-da
Bap ba-da, bap mm ba-da
We're flying the flag all over the world
Flying the flag for you
We're flying the flag
(Yes, we're flying)
All over the world
(The world)
(Take you all around the world)
Flying the flag for you
(Would you like something to suck on for landing, sir')
We're flying the flag
(Yes we're flying)
All over the world
(The world)
(Take you all around the world)
Flying the flag for you
We'd like to thank you for flying with us today"
2007,24,5,4,Ireland,Dervish,They Can't Stop The Spring,"The curtain has been raised
The wall no longer stands
And from Lisadell to Latvia
We're singing as one clan
The curtain has been raised
And Europe's all one stage
And the archipelagic icicles
Have melted like the cage
We don't need no party
Just a party band
A continental choir
Singing hand in hand
They might scare the blackbird
But they cannot stop him sing
They may steal the honey
But they'll never steal the sting
They may crush the flowers
Trample every living thing
But they can't stop the spring
They might scare the blackbird
But they cannot stop him sing
They may steal the honey
But they'll never steal the sting
They may crush the flowers
Trample every living thing
But they can't stop the spring
They might scare the blackbird
But they cannot stop him sing
They may steal the honey
But they'll never steal the sting
They may crush the flowers
Trample every living thing
But they can't stop the spring"
2006,1,292,17,Finland,Lordi,Hard Rock Hallelujah,"Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock, hallelujah!

[Verse 1]
The saints are crippled on this sinners night
Lost are the lambs with no guiding light
The walls come down like thunder, the rock's about to roll
It's the arockalypse, now bare your soul

[Pre-Chorus]
All we need is lightning with power and might
Striking down the prophets of false
As the moon is rising, give us the sign
Now let us rise up in awe

[Chorus]
Rock 'n roll angels bring then hard rock, hallelujah
Demons and angels, all in one, have arrived
Rock 'n roll angels bring then hard rock, hallelujah
In God's creation, supernatural high

[Verse 2]
The true believers, thou shall be saved
Brothers and sisters, keep strong in the faith
On the day of Rockoning it's who dares, wins
You will see the jokers soon'll be the new kings                 [Pre-Chorus]
All we need is lightning with power and might
Striking down the prophets of false
As the moon is rising, give us the sign
Now let us rise up in awe

[Chorus]
Rock 'n roll angels bring then hard rock, hallelujah
Demons and angels, all in one, have arrived
Rock 'n roll angels bring then hard rock, hallelujah
In God's creation, supernatural high

[Bridge]
Wings on my back, I got horns on my head
My fangs are sharp and my eyes are red
Not quite an angel or the one that fell
Now choose to join us or go straight to Hell

Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock, hallelujah!
Hard rock, yeah!

[Chorus]
Rock 'n roll angels bring then hard rock, hallelujah
Demons and angels, all in one, have arrived
Rock 'n roll angels bring then hard rock, hallelujah
In God's creation, supernatural high
Rock 'n roll angels bring then hard rock, hallelujah
Rock 'n roll angels bring then hard rock, hallelujah

[Outro]
Hard rock, hallelujah!
Hard rock, hallelujah!"
2006,2,248,10,Russia,Dima Bilan,Never Let You Go,"Heavy clouds, no rain
And every move causes pain
Ready kiss, but no love
I feel I'm torn in half
Burning look, but no heat
It's not you really need
Baby, now it's happened with us
We are dancing on broken glass
Can't stand no more
Never, never let you go
You are the one I'm searching for
Flesh of my flesh, bone of my bone
Love's carving it in the stone
Never, never let you go
Return the days we had before
Soul of my soul, blood of my blood
Love's carving it in my heart
Gentle words, no aim
It seems we're playing a game
Easy smile, but no fun
Sweet music for no one
Close embrace, but no more
Cold champagne we forgot to pour
Baby, now it's happened with us
We are dancing on broken glass
Can't stand no more
Never, never let you go
You are the one I'm searching for
Flesh of my flesh, bone of my bone
Love's carving it in the stone
Never, never let you go
Return the days we had before
Soul of my soul, blood of my blood
Love's carving it in my heart
Love's carving it in my heart
Baby, now it's happened with us
We are dancing on broken glass
(Can't stand no more)
Never, never let you go
You are the one I'm searching for
Flesh of my flesh, bone of my bone
Love's carving it in the stone
Never, never let you go
Return the days we had before
Soul of my soul, blood of my blood
Love's carving it in my heart
Never, never let you go
You are the one I'm searching for
Flesh of my flesh, bone of my bone
Love's carving it in the stone
Never, never let you go
Return the days we had before
Soul of my soul, blood of my blood
Love's carving it in my heart
Love's carving it in my heart"
2006,3,229,13,Bosnia & Herzegovina,Hari Mata Hari,Lejla,"Niz polje vjetar miriše
I bol me prati kao sjena
Da l' negdje za mnom uzdišeš?
Gdje si od mene sakrivena?
U kosu stavi ruzmarin
I jedan cvijet kraj šadrvana
Lejla, zar bi mogla ti drugog voljeti?
Ako te sutra zaprose
Znaj, tamo neću biti ja
Lako se tuge oproste
Al' samo ljubav nikada
Zar bi mogla ti drugog voljeti?
Golube, moj golube
Nosi joj suze mjesto pjesme
Ja odlazim, k'o da sam kriv
Što voljeh onu koju ne smijem
Golube, moj golube
Nosi joj suze mjesto pjesme
Odlazim k'o da sam kriv
Što voljeh tebe koju ne smijem
Što voljeh tebe, Lejla
(Golube, moj golube)"
2006,4,172,12,Romania,Mihai Traistariu,Tornero,"Hee-yeah!
I'm keeping your smile on my mind every day
I'm feeling your touch on my face even while you're away
Like when was together
In that dream that could have been so right, hey
Like when was together
In that dream that could have been so right
Tornerò, tornerò
La mia vita ti daro
Tornerai, tornerai
Mia per sempre tu sarai
Tornerò, tornerò
La mia vita ti daro
Tornerai, tornerai
Mia per sempre tu sarai
I wonder what I should feel
So empty these days
I wonder why I should fall now while you're away
We'll dance together
In that dream that could have been so right, hey
We'll dance together
In that dream that could have been so right
Tornerò, tornerò
La mia vita ti daro
Tornerai, tornerai
Mia per sempre tu sarai
I'm keeping your smile in my mind
I'm feeling your touch on my face
I just really miss you when I wanna kiss you
He-he-he-he-he-he-he-he-hee
And I wonder why, why I didn't know
And I wonder why I didn't know
Tornerò, tornerò
La mia vita ti daro
Tornerai, tornerai
Mia per sempre tu sarai
Tornerò, tornerò
La mia vita ti daro
Tornerai, tornerai
Mia per sempre tu sarai"
2006,5,170,22,Sweden,Carola,Invincible,"Never gonna run away
I'm not gonna hide
I know just what I feel inside

[Pre-Chorus]
Nothing's gonna make a change
Forever with you
I'm always on your side
You're always on my mind

[Chorus]
Invincible – one love supreme
Unbreakable – one land of dreams
Two hearts unite – insatiable
This love tonight – invincible

[Verse 2]
Love is like a miracle
Invading your heart
When you're struck, you know are

[Pre-Chorus]
When it's comin' over you
You won't let it go
I'm always on your side
You're always on my mind                       Invincible – one love supreme
Unbreakable – one land of dreams
Two hearts unite – insatiable
This love tonight – invincible

[Bridge]
I'm always on your side
You're always on my mind

[Chorus]
Invincible – one love supreme
Unbreakable – one land of dreams
Two hearts unite – insatiable
This love tonight – invincible

[Outro]
This love tonight – invincible"
2006,6,162,14,Lithuania,LT United,We Are The Winners,"We are the winners
We are, we are!
We are the winners
We are, we are!
Go, Go!!
We are the winners of Eurovision
We are, we are! We are, we are!
We are the winners of Eurovision
We are, we are! We are, we are!
So, you gotta vote,
Vote, vote, vote, vote for the winners
Vote, vote, vote, vote, vote for the winners
We are the winners of Eurovision
(de Vilnius city a Paris)
(LT United ici)
We are the winners of Eurovision
(chantons la meme chanson)
('cos we got it goin' on)
Everyday you hear us on the radio
(radio)
And everyday you see us on the news
(that's right)
It doesn't matter in mono or in stereo
(it's better in stereo)
'cos we are here to represent the truth that
We are the winners of Eurovision
We are, we are! We are, we are!
We are the winners of Eurovision
We are, we are! We are, we are!
Go baby!
We are the winners of Eurovision
We are, we are! We are, we are!
We are the winners of Eurovision
We are, we are! We are, we are!
We are the winners of Eurovision
We are the winners of Eurovision
We are the winners of Eurovision
We are the winners of Eurovision
You gotta vote, vote, vote, vote, vote for the winners
Vote, vote, vote, vote, vote for the winners
'cos we are the winners of Eurovision
Vote!"
2006,7,145,18,Ukraine,Tina Karol,Show Me Your Love,"Hi, baby, here I am
Feel like I'm born again
You see it in my eyes, my heart is on fire
Don't hide your love away, don't wait another day
Show me your love
Show me how much you care
Talk to my heart
Whisper my name
Show me your love
I need you more than air
You'll be my part
That's why I came
I love the way you shine
Love when you cross the line
Just give me one more sign, show me your desire
Don't hide your love away, don't wait another day
Show me your love
Show me how much you care
Talk to my heart
Whisper my name
Show me your love
I need you more than air
You'll be my part
That's why I came
Show me your love
Show me how much you care
Talk to my heart
Whisper my name
Show me your love
I need you more than air
You'll be my part
That's why I came
Show me your love
Show me how much you care
Talk to my heart
Whisper my name
Show me your love
I need you more than air
You'll be my part
That's why I came
Show me your love
Show me how much you care
Talk to my heart
Whisper my name
Show me your love
I need you more than air
You'll be my part
That's why I came
Don't hide your love away
Show feelings everyday
Show me your love
Show me how much you care
Talk to my heart
Whisper my name
Show me your love
I need you more than air
You'll be my part
That's why, that's why I came"
2006,8,129,24,Armenia,André,Without Your Love,"Drumming hearts and your silent words of love
They still remain in the shades of night
Will you go? Will you ever save my storming soul?
I need to know

[Chorus]
Should I live, should I die without your love?
Should I smile, should I cry without your love?
Should I fall, should I fly without your love?
All I can is only living for you, breathing for you

What I lose, what I find without your love?
What I say, what I hide without your love?
What I have in my mind without your love?
Tell me what I have to do, since I love you

[Verse 2]
Fly with me, take my wings and dream away
The stars will lead to the heavens' way
One's for sure:
There's a thousand ways to say goodbye
What you'll decide?

[Chorus]
Should I live, should I die without your love?
Should I smile, should I cry without your love?
Should I fall, should I fly without your love?
All I can is only living for you, breathing for you                           What I lose, what I find without your love?
What I say, what I hide without your love?
What I have in my mind without your love?
Tell me what I have to do, since I love you

[Chorus]
Should I live, should I die without your love?
Should I smile, should I cry without your love?
Should I fall, should I fly without your love?
All I can is only living for you, breathing for you

Should I live, should I die without your love?
Should I smile, should I cry without your love?
Should I fall, should I fly without your love?
All I can is only living for you, breathing for you

What I lose, what I find without your love?
What I say, what I hide without your love?
What I have in my mind without your love?
Tell me what I have to do, because I love you"
2006,9,128,16,Greece,Anna Vissi,Everything,"Seems only yesterday now,
Hiding my heart away
I kept my world outside
Tonight love could not be mine
Then suddenly I see you
I knew it had to be you
I feel your spirit in me
Love has saved my life
Everything I am. everything I own
Everything that's happening before my eyes
I owe it all to you
Pure is the love
Soft is the touch, you thrill
Like no one before, how could I want you more?
Like rain falls to the ocean
Like changes of the seasons
Some things are meant to be
I found myself in you
Everything I am. everything I own
Everything that's happening before my eyes
I owe it all to you"
2006,10,93,21,Ireland,Brian Kennedy,Every Song Is A Cry For Love,"Every song is a cry for love
Every voice can rise above
So don't be afraid
Just show what you're made of
Sing it out. Every Song is a cry for love
Every day is a brand new start
Every night you could fall apart
Any time you doubt
The truth that's in your heart
Sing it out. Every song is a cry for love
Being strong, being tough
Never tender always rough
It was never enough for me
In the dead of the night
Only love can old you tight
Sing it out. Every song is a cry for love
Every kiss is a call for home
Every touch means you're not alone
You don't always have
To make it on your own
Sing it out. Every song is a cry for love
Being strong, being tough
Never tender always rough
It was never enough for me
In the dead of the night
Only love can old you tight
Sing it out. Every song is a cry for love
Sing it out. Every song is a cry for love
Sing it out. Every song is a cry for love
"
2006,11,91,23,Turkey,Sibel Tüzün,Superstar,"I am no ordinary person
I ain't an imitation but the real diamond
My brilliance will dazzle you, watch out
Are you ready for love?
Tonight may be too long for you
It's maybe too dark to see and to feel to be true
I'm gonna light up your night forever
Are you ready for love?
I am your superstar, you feel me, baby
I'm your shining star, you reach me, baby
I know what you are, just show me, baby
Are you ready, are you ready, are you ready for love?
I am your superstar, you feel me, baby
I'm your shining star, you reach me, baby
I know what you are, just show me, baby
Are you ready, are you ready, are you ready for love?
I am not an ordinary person
I am not an imitation
My light will bedazzle you
Are you ready for love?
Tonight maybe too long for you
To see, to feel and to be true
I will light you tonight (ssh, uh)
I am no ordinary person
I ain't an imitation but the real diamond
My brilliance will dazzle you, watch out
Are you ready for love?
I am your superstar, you feel me, baby
I'm your shining star, you reach me, baby
I know what you are, just show me, baby
Are you ready, are you ready, are you ready for love?
I am your superstar, you feel me, baby
I'm your shining star, you reach me, baby
I know what you are, just show me, baby
Are you ready, are you ready, are you ready for love?
I am your superstar, you feel me, baby
I'm your shining star, you reach me, baby
I know what you are, just show me, baby
Are you ready, are you ready, are you ready for love?"
2006,12,56,11,North Macedonia,Elena Risteska,Ninanajna,"(Come, don't be afraid now, yeah)
(Yo, little girl)
(We gotta feel at home)
(Uh... stay here, don't be
afraid, don't go)
(I will stay on this dancefloor
all night long)
(You know, until the sun came up)


Te zapoznav ko fraer lud po
hip-hop, R'n'B
Što e dobra muzika ti me nauči
Što se sluči? Koj te smeni?
Stvarno ne te razbiram
Glaven turbo-folker stana ti,
a jas poluduvam


Pej si ti, nanani nananajna
Zapej mi, nanani nananajna
Živ dokaz toa e, ti ne si za mene

Pej si ti, nanani nananajna
Zapej mi, nanani nananajna
Odi, ne vrakjaj se
Ti veke ne si za mene

Ajaja jaja jajaj... ajaja jaja jaj...


Eminem go zameni so planet folkeri
Šakira i Madona mene mi gi zabrani
Što se sluči? Koj te smeni?
Stvarno ne te razbiram
Glaven turbo-folker stana ti, a jas
poluduvam


Pej si ti, nanani nananajna
Zapej mi, nanani nananajna
Živ dokaz toa e, ti ne si za mene

Pej si ti, nanani nananajna
Zapej mi, nanani nananajna
Odi, ne vrakjaj se

Ti veke ne si za mene

Kaj se sega tie denovi
Koga jas i ti bevme najsrekjni?
Možeš pola grad da zapališ
No ne me vrakjaš ti, ti me izgubi
Oh... Oh...


Pej si ti, nanani nananajna
Zapej mi, nanani nananajna
Živ dokaz toa e, ti ne si za mene

Pej si ti, nanani nananajna
Zapej mi, nanani nananajna
Odi, ne vrakjaj se
Ti veke ne si za mene


(Pej si ti) Nanani nananajna
"
2006,12,56,20,Croatia,Severina,Moja Stikla,"Jer još trava nije nikla
Tamo gdje je stala moja štikla

(Dođi, dođi, dođi)
Op, op, op, op
(Ajde, pile moje)

Tika taka, oko pola tri
Štipnut ćeš me da se ne vidi
Znam ja dobro takve kao ti
Đavoli su tvoji kumovi

Zvrc, zvrc, tražit ćeš moj broj
Kuc, kuc, kucaj nekoj drugoj
(Sojčice, divojčice, daj obuci čarapice)

Jer još trava nije nikla
Tamo gdje je stala moja štikla

Ojda da, ojda daj, ojda daj daj...
Ojda da, ojda daj, ojda daj daj...
Ojda da, ojda daj, ojda daj daj...
Ojda da, ojda daj... moja, moja štikla

(Šije) šete, (šije) oto, (šije) nove
(Šije) Moja
(I opet, mala)
S... s... s... seks
(Op, op, mrkz, mrkz)

Tika taka, oko pola tri
Gricnut ćeš me da se ne vidi
Zlatan prsten, tanki brčići
Ma znam ja dobro takve kao ti

Zvrc, zvrc, tražit ćeš moj broj
Šic, šic, bježi ajde drugoj
(Sojčice, divojčice, daj obuci čarapice)

Jer još trava nije nikla
Tamo gdje je stala moja štikla

Ojda da, ojda daj, ojda daj daj...
Ojda da, ojda daj, ojda daj daj...
Ojda da, ojda daj, ojda daj daj...
Ojda da, ojda daj... moja, moja štikla

(Zumba, zumba, zumba, zumba)
(Sijeno, slama, sir, salama)
(Risi bisi, teča veća)
(Cikla bikla, cikla bikla)
Afrika, paprika
(Ajde, moja)
Šije, šije, šije, šete, šije, oto, šije, nove
Šije, šije, šije, šije, moja, moja
Ajde, ajde

Jer još trava nije nikla
Tamo gdje je stala moja štikla

Ojda da, ojda daj, ojda daj daj...
Ojda da, ojda daj, ojda daj daj...
Ojda da, ojda daj, ojda daj daj...
Ojda da, ojda daj... moja, moja štikla"
2006,14,36,5,Norway,Christine Guldbrandsen,Alvedansen,"Bare jeg kan fange ditt blikk
Vise klør i kysset du fikk
Tirre deg så du blir til ild
Kom hit jeg vet du vil
Aa...
Bli med meg i sommernatten
Aa...
Ingenting er skjult i natt
Bare jeg vet alt som du er
Gir deg gnist, jeg ser du er nær
Svev med meg
La alt bli til ild
Kom hit jeg vet du vil
Aa...
Bli med meg i sommernatten
Aa...
Ingenting er skjult i natt
Bro
Ingen vet
Vinden leker
Månen ser bort
Og vi er alt
Aa...
Bli med meg i sommernatten
Aa...
Ingenting er skjult i natt
"
2006,14,36,8,Germany,Texas Lightning,"No, No, Never","My love is stronger now than you'll ever know
And it won't ever let you go
My love is wider than the ocean can be
And it's deeper than the deep blue sea
My love goes higher than a mountain can rise
And I see it there, in your eyes
My love gets tougher when the going gets rough
And believe me, I got more than enough

[Pre-Chorus]
Keep tryin', babe, keep holdin' on
There's a place we belong
Where things are good, where love is strong

[Chorus]
I'm never ever gonna leave you to cry on your own
Never ever gonna not go and pick up the phone
I'm never ever gonna let you be chilled to the bone
No, no, never
No, no, never
I'm never ever gonna leave when you're lost in the storm
Never ever gonna not keep you safe where it's warm
I never ever will desert you when your heart is torn
No, no, never
No, no, never          My love shines brighter than a twinklin' star
Baby, no matter where you are
And my love keeps burnin' like an eternal flame
You can feel it when I'm callin' your name

[Pre-Chorus]
Keep tryin', babe, keep holdin' on
There's a place we belong
Where things are good, where love is strong

[Chorus]
I'm never ever gonna leave you to cry on your own
Never ever gonna not go and pick up the phone
I'm never ever gonna let you be chilled to the bone
No, no, never
No, no, never
I'm never ever gonna leave when you're lost in the storm
Never ever gonna not keep you safe where it's warm
I never ever will desert you when your heart is torn
No, no, never
No, no, never
Oh, never ever gonna leave you to cry on your own
Never ever gonna not go and pick up the phone
I'm never ever gonna let you be chilled to the bone
No, no, never
No, no, never
No, no, never
No, no, never"
2006,16,30,1,Switzerland,Six4One,If We All Give A Little,"Everybody has a dream
What will come and what will be
And hopes it soon will be reality
But a dream is not enough
There's so much we gotta do
To overcome the bitter blue
'Cause we all know one hand alone
Can never move a rock of stone
It takes us all, me and you
If we all give a little
If we all give a little
We can make this world a home for everyone
If we all give a little
We can dry a million tears
And some hope will grow out of many fears
Everybody has some strength
They could spend on someone weak
Don't let life be a game of hide-and-seek
Everyone has things to give
To someone just to carry on
And with our help, to overcome
We all have learnt a word alone
Can never touch a heart of stone
It takes much more, more of us
If we all give a little
If we all give a little
We can make this world a home for everyone
If we all give a little
We can dry a million tears
And some hope will grow out of many fears
If we give a little love
Just believe it's really worth
Many million hearts are beating on this earth
If we all give a little
If we all give a little
We can make this world a home for everyone
(For everyone)
If we all give a little
We can dry a million tears
And some hope will grow
(It will grow forever)
Out of many fears
(If we stand together)
If we give a little, just a little
(If we give a little love)
Give a little love
If we all give a little
(Just a little love)
All give a little (If we give a)
(A little) love"
2006,16,30,4,Latvia,Cosmos,I Hear Your Heart,"In a world that is beeping and blaring
Growing louder every day
I cover my ears
But none of the noise will go away
Sirens, barking dogs
Thank God for the one and only sound
That turns around and makes it right

[Chorus]
I hear your heart
Whisper to me
No matter where I may happen to be, yeah
Sending me love and shining it through
I hear your heart
Can you hear mine too?

I hear your heart
Whisper to me
No matter where I may happen to be, yeah
Sending me love and shining it through
I hear your heart
Can you hear mine too?

[Verse 2]
Oh, as sensitive people we're trampled
Almost everywhere we go
There are days when we'll die
If one more stranger tells us no
So I hope your shadows melt away
As you say they've done before
Just like the one and only sound
That turns around for me once more                                              I hear your heart
Whisper to me
No matter where I may happen to be
Sending me love and shining it through
I hear your heart
Can you hear mine too? Can you hear mine too?

I hear your heart
Whisper to me
No matter where I may happen to be
Sending me love and shining it through
I hear your heart
Can you hear mine too?

[Post - Chorus]
I hear your heart
Mine too?
I hear your heart

[Bridge]
A violin on a summer night
On a full moon mountain top
Couldn't sound as sweet as you do
Don't stop, don't stop
[Chorus]
I hear your heart
Whisper to me
No matter where I may happen to be
Sending me love and shining it through
I hear your heart
Can you hear mine too?

I hear your heart
Whisper to me
No matter where I may happen to be
Sending me love and shining it through
I hear your heart
Can you hear mine too?"
2006,18,26,9,Denmark,Sidsel Ben Semmane,Twist Of Love,"Once upon a time there was this guy called Johnny
He was kinda shy and so in love with Connie
But so was O'Smarty, who played it cool
The king of the party, but oh what a fool
He didn't know how to twist
He didn't know how to make a girl insist
He didn't know how to move, he didn't feel the groove
He didn't know how to twist
(Twist, he didn't know how to twist)
He didn't know how to move, he didn't feel the groove
He didn't know how to twist
Once upon a night there was this guy called Johnny
He was kinda high and dancing with his honey
The queen of the party proclaimed him king
While poor old O'Smarty was left in the ring
He didn't know how to twist
He didn't know how to make a girl insist
He didn't know how to move, he didn't feel the groove
He didn't know how to twist
(Twist, he didn't know how to twist)
He didn't know how to move, he didn't feel the groove
He didn't know how to twist
Hit it, Johnny
A twist of love
A twist of pain
A twist of me and you
A twist of things you can't explain
Will make your dream come true
Be sure you know how to twist
Be sure you know how to make a girl insist
Be sure you know how to move, be sure you feel the groove
Be sure you know how to twist
Oh, oh...
(Twist, be sure you know how to) twist
Be sure you know how to move, be sure you feel the groove
Be sure you know how to twist
Be sure you know how to move, be sure you feel the groove
Be sure you know how to twist"
